id,title,price,area_in_words,address,created_at,updated_at,price_in_words,external_id,district,ward_name,area,district_id,ward_id,agent_id,lat,long,prop_type,address1
6216,"Cần nhượng lại lô góc KDC Hai Thành sầm uất, SHR, giá thương lượng",5300000000,132 m2,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",2022-07-04 16:43:39.344652,2022-07-07 09:57:32.238458,5 tỷ 300 triệu,id21221875,Quận Bình Tân,Phường Bình Trị Đông B,132.0,16,153,767,106.609161,10.742732,dat tho cu,
4287,"Bán đất MT đường Số 13B, P. Bình Trị Đông B, 5 x 20m, giá 9.2 tỷ. khu",9200000000,100 m2,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",2022-07-04 16:43:25.153549,2022-07-07 09:57:20.900966,9 tỷ 200 triệu,id21506665,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,106.609161,10.742732,dat tho cu,
4292,"Bán đất biệt thự MT đường Số 32, P. Bình Trị Đông B, 10 x 25m, giá 32",32000000000,250 m2,"Đường số 32, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:25.179432,2022-07-16 17:54:29.730104,32 tỷ,id21506661,Quận Bình Tân,Phường Bình Trị Đông B,250.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
6223,Tôi chính chủ cần bán gắp 3 nền thổ cư liền kề AEON Bình tân. TPHCM,3200000000,80 m2,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",2022-07-04 16:43:39.365944,2022-07-07 09:57:32.28577,3 tỷ 200 triệu,id21319599,Quận Bình Tân,Phường Bình Trị Đông B,80.0,16,153,146,106.609161,10.742732,dat tho cu,
6286,Nhanh tay sở hữu lô bìa sát công viên đường số 7 đối diện CoopMark,4000000000,125 m2,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",2022-07-04 16:43:39.744298,2022-07-07 09:57:32.646409,4 tỷ,id21208453,Quận Bình Tân,Phường Bình Trị Đông B,125.0,16,153,792,106.609161,10.742732,dat tho cu,
4354,"Bán nền biệt thự MT đường Số 34 ( nhỏ ), P. Bình Trị Đông B, 10 x 20m,",21000000000,200 m2,"Đường số 34A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:25.726337,2022-07-16 09:03:15.104038,21 tỷ,id21538975,Quận Bình Tân,Phường Bình Trị Đông B,200.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4358,"Bán đất MT đường Số 5, P. Bình Trị Đông B, 5 x 20m, giá 10 tỷ",10000000000,100 m2,"Đường số 5, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:25.738754,2022-07-16 17:58:20.22069,10 tỷ,id21525637,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4350,"Bán nền biệt thự MT đường Số 34 ( nhỏ ), P. Bình Trị Đông B, 10 x 20m,",21000000000,200 m2,"Đường số 34, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:25.715381,2022-07-16 17:54:35.814137,21 tỷ,id21584976,Quận Bình Tân,Phường Bình Trị Đông B,200.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4330,"Bán đất khu ao sen đường 28 dt 4.5x20m giá 8,3 tỷ",8300000000,90 m2,,2022-07-04 16:43:25.642044,2022-07-07 09:57:21.293223,8 tỷ 300 triệu,id21190804,Quận Bình Tân,Phường Bình Trị Đông B,90.0,16,153,123,,,dat tho cu,
4338,Can ban Lô đất biệt thự số 11 đường số 19A giá 17 tỷ dt 10x19.5m khu t,17000000000,195 m2,,2022-07-04 16:43:25.684749,2022-07-07 09:57:21.307015,17 tỷ,id21154290,Quận Bình Tân,Phường Bình Trị Đông B,195.0,16,153,123,,,dat tho cu,
4496,"Bán cặp đất MT đường Số 17B, P. Bình Trị Đông B, 10 x 20m, giá 20.5 tỷ",20500000000,200 m2,"Đường số 17B, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:26.861304,2022-07-16 09:03:47.461237,20 tỷ 500 triệu,id21681650,Quận Bình Tân,Phường Bình Trị Đông B,200.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
