DATE,STATION,NAME,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
1960-03-23,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,54.0,51.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-03-24,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,56.0,51.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-03-25,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,58.0,52.0,,,,,,,,,,,,,,,,,,,
1960-03-26,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.05,0.0,0.0,,63.0,51.0,,,,,,,,,,,,,,,,,,1.0,
1960-03-27,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.16,0.0,0.0,,64.0,51.0,,,,,,,,,,,,,,,,,,1.0,
1960-03-28,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,46.0,,,,,,,,,,,,,,,,,,,
1960-03-29,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,65.0,43.0,,,,,,,,,,,,,,,,,,,
1960-03-30,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.13,0.0,0.0,,61.0,50.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-03-31,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,41.0,,,,,,,,,,,,,,,,,,,
1960-04-01,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,69.0,52.0,,,,,,,,,,,,,,,,,,,
1960-04-02,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,78.0,48.0,,,,,,,,,,,,,,,,,,,
1960-04-03,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,81.0,53.0,,,,,,,,,,,,,,,,,,,
1960-04-04,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,83.0,51.0,,,,,,,,,,,,,,,,1.0,,,
1960-04-05,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,76.0,53.0,,,,,,,,,,,,,,,,1.0,,,
1960-04-06,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.02,0.0,0.0,,77.0,51.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-04-07,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,68.0,51.0,,,,,,,,,,,,,,,,,,,
1960-04-08,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,65.0,54.0,,,,,,,,,,,,,,,,,,,
1960-04-09,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,48.0,,,,,,,,,,,,,,,,,,,
1960-04-10,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,60.0,49.0,,,,,,,,,,,,,,,,,,,
1960-04-11,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.09,0.0,0.0,,63.0,51.0,,,,,,,,,,,,,,,,,,1.0,
1960-04-12,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,63.0,44.0,,,,,,,,,,,,,,,,,,,
